index,food,carbon footprint - emissions (gCO2e) per 100 g,Calories (kcal) per 100g
1,apple_pie,158,237
2,baby_back_ribs,3441,275
3,baklava,453,408
4,beef_carpaccio,2426,231
5,beef_tartare,1774,246
6,beet_salad,221,233
7,beignets,231,289
8,bibimbap,797,113
9,bread_pudding,225,190
10,breakfast_burrito,341,214
11,bruschetta,246,200
12,caesar_salad,198,135
13,cannoli,280,291
14,caprese_salad,398,137
15,carrot_cake,244,334
16,ceviche,360,67
17,cheese_plate,787,321
18,cheesecake,548,389
19,chicken_curry,806,103
20,chicken_quesadilla,320,216
21,chicken_wings,468,326
22,chocolate_cake,254,389
23,chocolate_mousse,479,44
24,churros,343,350
25,clam_chowder,220,79
26,club_sandwich,364,200
27,crab_cakes,951,168
28,creme_brulee,331,344
29,croque_madame,380,199
30,cup_cakes,306,370
31,deviled_eggs,415,223
32,donuts,658,412
33,dumplings,380,124
34,edamame,205,110
35,eggs_benedict,607,260
36,escargots,471,371
37,falafel,251,333
38,filet_mignon,3085,267
39,seafood_and_chips,352,134
40,foie_gras,290,264
41,french_fries,382,274
42,french_onion_soup,120,280
43,french_toast,21,244
44,fried_calamari,240,125
45,fried_rice,360,168
46,frozen_yoghurt,226,107
47,garlic_bread,613,330
48,gnocchi,302,200
49,greek_salad,275,118
50,grilled_cheese_sandwich,392,350
51,grilled_salmon,471,139
52,guacamole,227,133
53,gyoza,248,211
54,hamburger,2543,239
55,hot_and_sour_soup,90,37
56,hot_dog,353,290
57,huevos_rancheros,210,142
58,hummus,97,166
59,ice_cream,380,210
60,lasagna,1389,135
61,lobster_bisque,635,50
62,lobster_roll_sandwich,984,96
63,macaroni_and_cheese,389,162
64,macarons,316,404
65,miso_soup,43,29
66,mussels,307,172
67,nachos,1626,305
68,omelette,408,153
69,onion_rings,95,409
70,oysters,304,200
71,pad_thai,630,170
72,paella,380,177
73,pancakes,92,227
74,panna_cotta,309,325
75,peking_duck,390,240
76,pho,430,91
77,pizza,383,266
78,pork_chop,568,231
79,poutine,216,223
80,prime_rib,3706,382
81,pulled_pork_sandwich,630,175
82,ramen,289,436
83,ravioli,285,77
84,red_velvet_cake,161,336
85,risotto,99,174
86,samosa,161,262
87,sashimi,479,1075
88,scallops,320,217
89,seaweed_salad,152,114
90,shrimp_and_grits,250,149
91,spaghetti_bolognese,1167,146
92,spaghetti_carbonara,398,191
93,spring_rolls,461,231
94,steak,4333,252
95,strawberry_shortcake,210,179
96,sushi,307,143
97,tacos,2809,216
98,takoyaki,131,175
99,tiramisu,160,283
100,tuna_tartare,449,206
101,waffles,71,291
